"Sample.ID","TA","Mass"
"20201009_headtank1",-77.5742416646024,60.95
"20201009_headtank2",-142.655751989408,60
"20201009_headtank3",-114.663937747069,60.52
"20201009_pdam1",NA,NA
NA,NA,NA
NA,NA,NA
