mVTris,TTris
74,15
73.6,15.5
73.3,16
72.9,16.5
72.3,17
71.8,17.5
71.3,18
70.8,18.5
70.3,19
69.8,19.5
69.2,21
67.6,21.5
66.5,22
65.9,22.5
65.4,23
64.8,23.5
64.4,24
63.8,24.5
63.3,25
62.7,25.5
62.2,26
61.7,26.5
61.1,27
