sample,mass,salinity,Sample.ID,Type, Notes
20200917_CRM1,60.99,33.623,CRM1,CRM,Bottle #180-0643; TA = 2224.47
20200917_CRM2,59.894,33.623,CRM2,CRM,Bottle #180-0643; TA = 2224.47

