sample,mass,salinity,Sample.ID,Type, Notes
20201009_junk,60.6,34,,,
20201009_CRM1,60.73,33.623,CRM1,CRM,Bottle #180-0643; TA = 2224.47
20201009_CRM2,60.72,33.623,CRM2,CRM,Bottle #180-0643; TA = 2224.47


