sample,mass,salinity,Sample.ID,Type, Notes
20201009_headtank1,60.95,34,headtank1,headtank,
20201009_headtank2,60,34,headtank2,headtank,
20201009_headtank3,60.52,34,headtank3,headtank,
20201009_pdam1,60.96,34,pdam1,pdam,
20201009_pdam2,60.54,34,pdam2,pdam,
20201009_pdam3,60.95,34,pdam3,pdam,




