"Sample.ID","TA","Mass"
"20200917_CRM1",2219.68120497892,60.99
"20200917_CRM2",2209.24119981349,59.894
"20200917_CRM1",2219.68120497892,60.99
"20200917_CRM2",2209.24119981349,59.894
"20200917_CRM1",2219.68120497892,60.99
"20200917_CRM2",2209.24119981349,59.894
"20200917_CRM1",2219.68120497892,60.99
"20200917_CRM2",2209.24119981349,59.894
"20200917_CRM1",2219.68120497892,60.99
"20200917_CRM2",2209.24119981349,59.894
